id,name,position,shirt_number,team_id,team_side,substitute,captain,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,good_high_claim,saved_shots_from_inside_the_box,saves,minutes_played,touches,rating,possession_lost_ctrl,rating_original,rating_alternative,goals_prevented,match_id,total_cross,accurate_cross,aerial_lost,duel_lost,duel_won,dispossessed,on_target_scoring_attempt,goals,total_clearance,outfielder_block,interception_won,total_tackle,fouls,expected_goals,expected_assists,aerial_won,was_fouled,shot_off_target,challenge_lost,total_contest,won_contest,big_chance_created,clearance_off_line,key_pass,error_lead_to_a_shot,big_chance_missed,penalty_miss,blocked_scoring_attempt,penalty_save,punches,penalty_conceded,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,hit_woodwork,last_man_tackle,own_goals,penalty_won,error_lead_to_a_goal
329175,Pierluigi Gollini,G,95,2702,home,False,False,30.0,16.0,21.0,7.0,0.0,1.0,5.0,5.0,90.0,39.0,7.2,14.0,7.2,7.5,0.8856,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807295,Alessandro Vogliacco,D,14,2713,home,False,False,21.0,18.0,5.0,3.0,0.0,,,,60.0,31.0,7.4,5.0,7.4,7.3,,12499256,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6936,0.0523894,,,,,,,,,,,,,,,,,,,,,,,,
250547,Mattia Bani,D,13,2715,home,False,False,17.0,13.0,6.0,2.0,0.0,,,,90.0,25.0,6.5,4.0,6.5,6.1,,12499256,,,3.0,3.0,1.0,,1.0,,3.0,,3.0,1.0,1.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,
1001828,Koni De Winter,D,4,2713,home,False,False,31.0,25.0,6.0,3.0,0.0,,,,90.0,41.0,6.6,6.0,6.6,6.7,,12499256,,,2.0,3.0,5.0,,,,6.0,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
922928,Alessandro Zanoli,M,59,2714,home,False,False,5.0,2.0,2.0,,0.0,,,,71.0,10.0,6.2,5.0,6.2,6.3,,12499256,,,1.0,2.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
195850,Ruslan Malinovskyi,M,17,2713,home,False,False,25.0,22.0,1.0,,0.0,,,,71.0,30.0,6.6,4.0,6.6,6.4,,12499256,,,,2.0,2.0,1.0,,,,,1.0,1.0,2.0,0.008,0.0118613,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
39482,Milan Badelj,M,47,241802,home,False,True,28.0,23.0,5.0,3.0,0.0,,,,86.0,40.0,7.7,8.0,7.7,7.5,,12499256,,,,1.0,4.0,,,,2.0,1.0,,1.0,1.0,0.1412,0.181252,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
918440,Morten Frendrup,M,32,2713,home,False,False,23.0,20.0,1.0,1.0,0.0,,,,90.0,41.0,7.1,6.0,7.1,6.8,,12499256,,,1.0,6.0,8.0,2.0,1.0,,2.0,,3.0,1.0,3.0,0.0232,0.0517578,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
797286,Aarón Martín,M,3,2713,home,False,False,17.0,13.0,2.0,,0.0,,,,90.0,44.0,6.8,13.0,6.8,6.8,,12499256,6.0,1.0,1.0,3.0,7.0,,,,1.0,,1.0,3.0,1.0,,0.0371758,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
888219,Junior Messias,F,10,2713,home,False,False,8.0,6.0,1.0,,0.0,,,,90.0,27.0,6.8,8.0,6.8,6.0,,12499256,,,7.0,11.0,5.0,1.0,3.0,1.0,2.0,,1.0,,,0.9683,,2.0,2.0,,,4.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
1093695,Vitinha,F,9,2713,home,False,False,12.0,8.0,1.0,1.0,0.0,,,,90.0,37.0,7.1,11.0,7.1,7.5,,12499256,1.0,,4.0,8.0,11.0,2.0,1.0,,2.0,1.0,,,1.0,0.1888,,3.0,3.0,1.0,,6.0,5.0,,,,,1.0,,1.0,,,,,,,,,,,
889785,Johan Vásquez,D,22,2713,home,True,False,9.0,4.0,4.0,1.0,0.0,,,,30.0,10.0,6.3,5.0,6.3,6.2,,12499256,,,,1.0,,,,,1.0,,,,1.0,,0.0208725,,,,,,,,,,,,,,,,,,,,,,,,
184421,Stefano Sabelli,D,20,2713,home,True,False,1.0,1.0,1.0,1.0,0.0,,,,19.0,10.0,6.6,4.0,6.6,6.4,,12499256,4.0,1.0,,1.0,,,,,1.0,,1.0,,,0.0121,0.0852805,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
280991,Morten Thorsby,M,2,2713,home,True,False,4.0,2.0,,,0.0,,,,19.0,6.0,6.3,2.0,6.3,5.9,,12499256,,,3.0,5.0,,,,,,,,,2.0,0.0699,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1613917,Jeff Ekhator,F,21,2713,home,True,False,2.0,1.0,,,0.0,,,,14.0,5.0,6.5,4.0,6.5,6.4,,12499256,,,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
595572,Daniele Sommariva,G,39,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98059,Nicola Leali,G,1,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462342,Tommaso Pittino,D,53,2770,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634980,Honest Ahanor,D,69,2686,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462307,Christos Papadopoulos,M,74,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164381,Seydou Fini,F,40,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970998,Patrizio Masini,M,73,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824584,Emil Bohinen,M,8,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121370,Federico Accornero,M,55,2745,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16206,Yann Sommer,G,1,2697,away,False,False,26.0,20.0,5.0,,0.0,,3.0,5.0,90.0,37.0,7.3,7.0,7.3,6.9,0.7051,12499256,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,
