,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,good_high_claim,saved_shots_from_inside_the_box,saves,minutes_played,touches,possession_lost_ctrl,goals_prevented,total_cross,accurate_cross,aerial_lost,duel_lost,duel_won,dispossessed,on_target_scoring_attempt,goals,total_clearance,outfielder_block,interception_won,total_tackle,fouls,expected_goals,expected_assists,aerial_won,was_fouled,shot_off_target,challenge_lost,total_contest,won_contest,big_chance_created,clearance_off_line,key_pass,error_lead_to_a_shot,big_chance_missed,penalty_miss,blocked_scoring_attempt,penalty_save,punches,penalty_conceded,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,hit_woodwork,last_man_tackle,own_goals,penalty_won,error_lead_to_a_goal,pass_accuracy,long_ball_accuracy,cross_accuracy,keeper_sweeper_accuracy,contest_win_rate,contest_loss_rate,duel_win_rate,aerial_win_rate,rating
total_pass,1.0,0.9850603985721588,0.39218640933657556,0.46030682718762755,0.005975447690028945,0.026540471873832752,0.02083763722958124,0.018613723978456297,0.5725424171539325,0.9537064633257172,0.2869955922546686,0.0071578541711111955,0.061203376711018886,0.05909541928889253,0.03187887487105421,0.005737134403420316,0.2400347090368658,-0.09125911245882055,-0.0686936176920515,-0.06036535277886483,0.3006365996757167,0.21425881496454502,0.2681993258926755,0.23088228203485792,0.058495857317602415,-0.0989345821595435,0.10178446120484252,0.22333096457967122,0.030235206363086912,-0.007282075820553121,0.10005997137688066,-0.0827651213949542,-0.026780658151476677,0.01968988001588023,0.05396654334575691,0.10894976579779965,0.07016398434623368,-0.08014418315906388,-0.016478842183546078,-0.028110586630216285,0.007616604166043222,0.006924267967306637,0.02102855989376739,-0.11953348498177618,0.0113490030004542,0.011112272567149051,-0.02096474340847743,0.08027849554877452,0.027873362125208564,-0.015734766185736604,0.039763837444431745,0.3631620634312042,0.09251688189211332,0.03261046650323852,-0.03817873779069658,0.09697724677583201,0.11520135262563379,0.17030561121556995,0.15270449951399198,0.28978497518171187
accurate_pass,0.9850603985721588,1.0,0.2896152842865764,0.4089480497890618,0.007711715428933942,-0.02990008723466922,-0.037913149141722904,-0.044081792478282644,0.5180424079660116,0.9286674823039645,0.16203057453037983,-0.001286662113047448,0.053192790423587474,0.05459455807325769,0.023421978266404637,0.0007698400377730723,0.21959924762953462,-0.09013669754526282,-0.06750266117748091,-0.06093651179435851,0.28776013022165,0.2193404082036081,0.2674684891025204,0.2249568584113751,0.05883762274620046,-0.09760855434508803,0.10312485565144215,0.19546354136056476,0.024708771840844093,-0.004266232466936632,0.0971349474740362,-0.08360515457908714,-0.027433305947657687,0.020631276877886042,0.05386558441131876,0.11091347265725093,0.06270996949751487,-0.07857527856459663,-0.017909279249244184,-0.025583860693639836,-0.00839473566612182,-0.03322788640132311,0.022283668765001853,-0.11823058400433738,-0.020427418617691772,-0.021127241431911147,-0.020292092939631044,0.0833613280727769,0.02870670769310239,-0.01670196433293323,0.033803682179306745,0.4787776887872567,0.14827042215725353,0.03423141536255247,-0.09735351535712157,0.09805265096799592,0.10854345821208103,0.14959284011324345,0.130030813371138,0.2784285721468305
total_long_balls,0.39218640933657556,0.2896152842865764,1.0,0.8563923636977758,-0.052325919374545365,0.5128432706118314,0.5723921112396222,0.6220399373638608,0.37934853592198503,0.35244586177982523,0.3311057722970274,0.01850360961146997,-0.09490793007028776,-0.057775041844252535,-0.12610429875871962,-0.2648299880439158,-0.11915197171864308,-0.20860284346295677,-0.15397877931856596,-0.09912162270840352,0.1750493509249557,0.047218022694968005,0.02891101116122032,-0.04577424450215236,-0.12321641108267212,-0.16594328398254204,-0.09587092715368845,0.008419059040201831,-0.11353569288834087,-0.14225498982380455,-0.0634203842889999,-0.22128244244657605,-0.15558694637445233,-0.058839000102282435,0.01767605311706542,-0.11347605038112915,0.0476166704118826,-0.10959160891262254,-0.02209322457318321,-0.12824076277515067,0.1273797425900484,0.3927601264618137,0.013578389849555285,-0.1332404176885321,0.35709950770120147,0.3570281161611154,-0.04962915902281343,0.021751311327611343,0.019036187079023825,-0.028592188967378206,0.059373548703931286,-0.1875978881368983,-0.06541052196927535,0.04501697213011989,0.07041329632247481,0.09213576149421332,0.10360207657846442,0.2554697759218747,0.2054380022476086,0.15901366315735574
accurate_long_balls,0.46030682718762755,0.4089480497890618,0.8563923636977758,1.0,-0.03417812160386179,0.37113520250520304,0.42477401173041296,0.4677854148659155,0.35801780527346466,0.4101650188621409,0.1760860964978855,-0.014179600001530726,-0.07282912586736669,-0.039170433316188004,-0.10535680506978784,-0.2102940409661839,-0.07037662887642017,-0.17337443108087927,-0.124454519284376,-0.08286548435706781,0.15377560988184855,0.06207801669254374,0.042262938321065695,-0.01618336050859623,-0.08080609100629506,-0.13601643560242976,-0.045611605831825,0.020672276439747818,-0.07710027231723177,-0.10220530278328338,-0.03844646138494282,-0.1822383359738132,-0.11785386768781722,-0.03234374352671097,0.022775173939984614,-0.051339754282745245,0.04181766648297434,-0.09773672189130202,-0.015961812498455873,-0.09564119027667611,0.07572329046853508,0.2970145267131351,0.01600314281999897,-0.12263569079456266,0.2839902468606749,0.28204112517863855,-0.04108311013310334,0.025652379564581246,0.017277041054668405,-0.028032147172954287,0.04859092540669371,0.03422103473485675,0.31486824195125374,0.045500093725922765,0.023137913700067816,0.09209313780263514,0.08411329342921608,0.20115790452617838,0.16227636937515666,0.2251035325029521
goal_assist,0.005975447690028945,0.007711715428933942,-0.052325919374545365,-0.03417812160386179,1.0,-0.04104916273705385,-0.05021558830445511,-0.05578136636091208,0.031794339096210336,0.029030840663336485,0.05151557013350589,0.003059056800094251,0.10488220404392369,0.16163701911564501,0.009404771118768127,0.04651620275255556,0.044442309449227925,0.0335222325142199,0.05861928801976151,0.030649304734523746,-0.0384699872792776,-0.019772901004664816,-0.01616423734710622,0.011454298222657878,0.004091570163029854,0.08049953803504441,0.34155280161892243,-0.0006532355555560293,0.04374271133472618,0.07889627190712475,0.03406929881635788,0.07911673116222269,0.06617767644231679,0.4565722685026256,-0.014621914257470328,0.3420610166626204,-0.016190418699518788,0.04341179874559204,0.01175744457489063,0.05531287426027628,-0.009951210819922469,-0.03281663035814479,-0.0016667361061681544,0.0463467659866325,-0.034241063777290213,-0.03389891024345089,0.019086365709522646,-0.006461000851780771,-0.008008898142405425,0.027326312702040906,-0.0034369636806997924,0.017735655855842292,0.025561185568016,0.12977640435035037,0.013549755108590729,-0.001502658995140962,0.003981655754147496,-0.008552853341975518,-0.019250353515516617,0.2754927047501225
good_high_claim,0.026540471873832752,-0.02990008723466922,0.5128432706118314,0.37113520250520304,-0.04104916273705385,1.0,0.4596967967888003,0.502618675250608,0.12569593743491755,0.012585415150975953,0.11435609106123193,0.08280843338244247,-0.09993223965606712,-0.07101629586530493,-0.12396992324973954,-0.21045067993931318,-0.1786645798657982,-0.10368906370990372,-0.07969377900659023,-0.04780347119100032,-0.033337399920120504,-0.06848706166042696,-0.1030494995493609,-0.14001425537088122,-0.14011629393816286,-0.07699580371463609,-0.08567470770792181,-0.07095516267745391,-0.09738418825691544,-0.08746806251896709,-0.09291559484672839,-0.11503445697594102,-0.08938636687184989,-0.0480394907099112,-0.01335500693690995,-0.10777787127489824,0.01986202974883693,-0.04568950744342887,-0.008098982999480128,-0.07528513051214109,0.10092099459832897,0.3806720814922688,0.004536432812202784,-0.047765040101080236,0.2889588243088477,0.2888942778106185,-0.02525589554672294,-0.01539262730061161,0.026119799552687933,-0.013560228428264522,0.020770022621936474,-0.17722273376675654,-0.06049320588251648,0.011745952500010714,0.043297648491542315,0.030685732282412236,-0.013959181411841678,0.1793909851648932,0.13310692959439793,0.09975189275985252
saved_shots_from_inside_the_box,0.02083763722958124,-0.037913149141722904,0.5723921112396222,0.42477401173041296,-0.05021558830445511,0.4596967967888003,1.0,0.9251821280800197,0.156206097283442,0.00020102346273306147,0.09408783925602647,0.25104276078316184,-0.12410435908406965,-0.08846210963489233,-0.153856821447471,-0.26013593094054493,-0.23235951570333893,-0.12865641091985183,-0.09867835275019814,-0.0591911671358858,-0.051030522305648134,-0.08682744129886719,-0.12726341063653887,-0.17356003198238576,-0.17186298191864374,-0.09526287051585323,-0.10781178945632447,-0.10333773048301745,-0.1210113108468466,-0.10782332277621437,-0.11415634869378899,-0.143889329664597,-0.11310484300945496,-0.05881818732150954,-0.016536423569432728,-0.13272530813775218,0.026779510444912145,-0.056573617021130354,-0.0100283147731577,-0.09321948034246676,0.19716848594068212,0.3997118912581427,0.015495648977249902,-0.059143581029479836,0.3762919429371161,0.37171039086571195,-0.031272330172416526,-0.019059443854412654,0.011692378455668775,-0.016790532722847924,0.033171078505190195,-0.18969342189083913,-0.06248816826520425,,-0.04820275016418058,0.033248894262722636,-0.015125183993816698,0.18243081977648368,0.14774150012872467,0.1780703994710636
saves,0.018613723978456297,-0.044081792478282644,0.6220399373638608,0.4677854148659155,-0.05578136636091208,0.502618675250608,0.9251821280800197,1.0,0.17261675734083548,-0.0036036051451529714,0.09369804774042373,0.21712706658240086,-0.13724764455408725,-0.09783069885119795,-0.16992271620584629,-0.28794935321323945,-0.25653406248332006,-0.14283102205494744,-0.10912889429022923,-0.06545981404492375,-0.055227296791721815,-0.09602291078958182,-0.14102341454576928,-0.19199351193923528,-0.19041241147078683,-0.10538195438457643,-0.11963112053473492,-0.11353608825219189,-0.1336115922384818,-0.11943707050211962,-0.12623975721024458,-0.15922468965271602,-0.12524485292395157,-0.06613954648591086,-0.01828771528255442,-0.14699904433030705,0.018957908167146636,-0.06256505200430074,-0.011090364525636857,-0.1030918994142082,0.20085955376059023,0.4565518902323385,0.011298923286497436,-0.06540718832681156,0.40417666141248604,0.3965564287447208,-0.034584229656062435,-0.019918571514926545,0.014442069303855698,-0.018568735893137563,0.043344152621738026,-0.20461771629025408,-0.06618205556006669,,-0.08524542023473654,0.034335700131442125,-0.015619580547279696,0.20320837097042463,0.16173100355535336,0.1858878114253887
minutes_played,0.5725424171539325,0.5180424079660116,0.37934853592198503,0.35801780527346466,0.031794339096210336,0.12569593743491755,0.156206097283442,0.17261675734083548,1.0,0.6641258944135656,0.480672521713467,-0.012968489026788198,0.11568368614716398,0.08003428092016221,0.18573742036453864,0.24699905894146265,0.33907242035975554,0.08244832661991773,0.07754576514057897,0.04445580575932024,0.33809902067557834,0.18324903270186738,0.23524632821929894,0.23196041609337678,0.16644297185412432,0.06266271443875847,0.08958655304307461,0.24097073906281352,0.1810638617238043,0.09156705254742904,0.13460877518293207,0.07562328781419866,0.06107658990795155,0.05033442346388293,0.04359791394642903,0.1394692092590201,0.0529662157237017,0.02960194636441483,0.021111990925209493,0.065933073291692,0.031362180501209015,0.10449938466101558,0.01507128991370624,0.066896223605744,0.11186857197368688,0.11121945878036571,0.02900615036999563,0.046815432986763564,0.03077726888990897,0.01663094823369972,0.035925878142191246,0.07395553025296259,-0.01387311461899991,-0.009477562440249115,0.11245069499135647,0.0010709505441943486,0.11876345639033713,0.10807217132349874,0.07773114993143464,0.28554949690075543
touches,0.9537064633257172,0.9286674823039645,0.35244586177982523,0.4101650188621409,0.029030840663336485,0.012585415150975953,0.00020102346273306147,-0.0036036051451529714,0.6641258944135656,1.0,0.45919386861615735,0.023115455365583976,0.2201650774842051,0.17012503771444298,0.06705906718375766,0.13402588515797892,0.37975110433385606,0.012254880758238839,-0.0054004956121713596,-0.02703786149258203,0.3542582511648626,0.22980629438647934,0.3168785349611821,0.32985097425396903,0.10571982684872198,-0.047433381382411405,0.17314989046474605,0.244912291300887,0.14024241098743745,0.051054800896244555,0.1527815144438691,0.0627823319257152,0.08184483952588115,0.06456064483290631,0.05360839180129444,0.19466863274551083,0.0731363561666151,-0.05141704062618931,-0.007022246712451776,0.032361407312198935,0.003541650519454449,-0.00488618806497078,0.01906241498741557,-0.08099794612270465,-0.01039890827844548,-0.010878990639531695,-0.0022496042507316495,0.07768950564032048,0.02792618653027625,-0.0016179450297324253,0.03517038217256762,0.3204074446926964,0.07031445249766828,0.028495753980076647,-0.06899391930683949,0.07800619498854486,0.11946050260324373,0.18199885287274703,0.14430177323704524,0.35869314822666015
